system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,.geo
00000000000000001489_0,2308,1376,912,1168,1170,1365,2954,3283,3330,3805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000148b_0,1837,873,228,480,279,861,2497,2853,2753,3054,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000148e_0,3956,3700,761,990,1098,1402,1844,2066,2218,2362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000148f_0,2381,1720,630,865,1262,1670,1973,2214,2474,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001493_0,2580,1797,563,844,1058,1410,1882,2088,2210,2334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001496_0,876,450,207,256,172,389,1183,1222,1506,1345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000149b_0,2596,2034,437,657,819,1081,1461,1598,1666,1749,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000149d_0,1314,584,283,432,198,665,2150,2458,2448,2615,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a0_0,2932,2722,579,897,1188,1394,1558,1685,1866,1831,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a3_0,1823,989,192,370,271,799,2190,2864,2298,3002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a4_0,1458,703,330,864,487,1297,4361,5266,5356,5329,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014a5_0,1613,899,403,537,346,822,2037,2316,2276,2492,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014aa_0,1096,482,194,690,520,1183,2077,2219,2500,2348,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014ab_0,2472,1665,655,1036,1226,1801,2675,2945,2918,3216,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014ad_0,3071,2310,706,1098,1200,1650,2364,2527,2512,2639,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b1_0,2038,1573,619,862,1015,1306,1637,1884,1940,2139,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b2_0,1620,875,230,443,268,723,1742,2043,2078,2219,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014b9_0,1019,492,149,315,179,561,1900,2181,2166,2450,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014be_0,1461,658,287,532,250,783,2680,3230,3658,3487,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014c2_0,2188,990,240,649,268,1152,4207,5183,5352,5605,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014c5_0,2563,1900,537,789,949,1355,1840,2234,2886,2598,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014c6_0,2465,1624,469,764,567,1149,2920,3534,3616,3639,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014c7_0,2326,1467,355,625,535,1067,2077,2331,2312,2472,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014ca_0,3212,2725,748,1012,1222,1525,1996,2132,2294,2302,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014cd_0,1446,676,121,361,260,773,1869,2396,2212,2759,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014cf_0,1599,930,100,381,287,823,1750,1982,2116,2196,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014d2_0,2120,1671,471,694,763,1126,1728,1911,1898,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014d3_0,1420,786,197,368,221,665,1676,1959,1922,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014d4_0,1419,642,208,549,263,908,2729,3063,3150,3257,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014db_0,1100,564,223,416,172,614,2152,2685,2634,2869,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014df_0,3075,2464,761,981,1310,1554,1737,1919,2150,2175,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014e4_0,2847,1830,667,1030,972,1594,2872,3131,3356,3346,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014e7_0,1819,1004,371,648,402,1076,2936,3412,3460,3589,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014e8_0,1423,707,400,807,401,1376,3701,4350,4344,4580,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014e9_0,2315,1160,347,585,429,1035,2403,2721,2894,3171,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014ec_0,2783,2150,647,922,980,1333,1860,1993,2022,2066,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014ef_0,2314,1403,308,546,433,1306,2356,2761,3225,3047,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014f0_0,1171,469,124,323,219,859,3694,4514,4035,4856,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014f1_0,1767,1285,581,888,1034,1374,1865,1966,1990,2058,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014f4_0,3789,3446,974,1288,1686,1911,2038,2210,2364,2393,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014f5_0,1515,636,236,373,207,748,2893,3622,3724,3820,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014f6_0,1406,665,299,463,227,726,1993,2373,2273,2447,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014f9_0,474,524,8816,8360,8432,8555,8229,7841,7988,7420,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014fa_0,1804,902,401,686,636,1318,2384,2612,2964,2964,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014fc_0,2636,1650,386,688,1044,1603,1897,2234,2552,2735,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014fd_0,2321,1243,448,755,518,1250,2877,3286,3626,3658,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000014fe_0,968,565,125,331,336,660,964,1065,1150,1226,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001501_0,2925,2601,639,935,1146,1418,1959,2149,2288,2377,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001502_0,1096,458,169,387,207,707,2018,2368,2590,2602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001506_0,2865,1929,510,849,865,1472,2312,2513,2686,2711,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001509_0,2229,2150,555,689,814,971,1138,1246,1260,1335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000150a_0,2564,1643,701,1026,1484,1830,1974,2188,2310,2451,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000150b_0,3254,2688,767,1017,1182,1568,2206,2482,2591,2728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000150e_0,2821,1981,607,826,969,1354,1900,2058,2178,2220,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001512_0,1119,588,325,540,288,689,1612,1988,2370,2035,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001513_0,2455,1518,479,756,673,1135,1827,1979,2052,2111,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001516_0,3404,2696,692,967,1146,1512,1971,2169,2360,2458,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001519_0,1681,721,193,397,183,768,3236,4265,4552,4492,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000151b_0,2026,848,225,609,264,1135,4506,5643,5546,5888,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000151e_0,3144,2855,557,722,704,1052,1867,2062,2196,2286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001523_0,2613,1933,507,810,943,1327,1710,1873,2012,2094,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001526_0,3304,2181,697,1064,1252,1793,2517,2804,2841,3055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001528_0,2535,1942,518,792,1034,1381,1758,1939,2054,2177,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000152b_0,3148,2593,707,965,1106,1400,1790,1928,2076,2147,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000152c_0,1912,1043,382,631,513,908,1932,2174,2644,2449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000152d_0,1887,831,344,593,294,888,3219,3907,3986,4235,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001530_0,2470,1976,618,816,930,1206,1403,1537,1554,1587,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001534_0,3015,1789,1060,1558,2440,2756,2907,3195,3448,3640,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001538_0,2874,2260,676,932,1188,1533,1868,2001,2118,2185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000153a_0,1807,905,297,393,354,834,1427,1667,1800,1974,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000153b_0,1647,670,172,422,200,866,2858,3502,3178,3821,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000153d_0,3363,2985,1242,1770,2140,2412,2670,2753,2698,2723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001540_0,1972,1180,339,537,362,809,2572,2889,2976,2991,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001542_0,1891,886,489,683,395,965,2824,3313,3574,3531,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001545_0,3241,2655,1038,1352,1600,1783,2039,2192,2370,2324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001548_0,642,270,225,298,200,375,1236,1618,1989,1656,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154a_0,841,362,111,385,242,580,1240,1358,1560,1378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154d_0,3694,3218,905,1212,1462,1787,2184,2433,2526,2621,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001552_0,2654,1595,697,973,1019,1333,2779,3089,3042,3452,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001555_0,1695,783,391,517,365,861,3180,4064,4296,4342,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001556_0,2481,1296,443,802,637,1350,2767,3111,3242,3366,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001557_0,2693,1937,344,599,706,1135,1811,2061,2214,2276,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155a_0,3113,2656,777,1076,1204,1656,2115,2228,2148,2405,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155d_0,2891,2217,669,995,1076,1680,2702,3004,3015,3185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155f_0,2495,1924,693,987,1194,1551,2131,2325,2366,2462,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001562_0,2388,2318,635,759,943,1062,1131,1249,1290,1366,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001563_0,1272,561,170,400,168,675,2349,2704,2790,2928,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001564_0,1758,993,354,513,497,911,1419,1625,1730,1846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001567_0,2416,1841,543,711,771,1039,1463,1621,1648,1778,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001568_0,1069,465,175,444,215,772,1958,2255,2532,2473,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000156a_0,2095,1081,505,844,587,1216,3057,3725,3372,4069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000156f_0,2638,2213,565,741,865,1157,1581,1695,1816,1863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001570_0,1081,498,215,323,204,574,1805,2199,2217,2310,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001572_0,2206,1605,576,886,775,1285,2047,2433,2874,2499,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001574_0,1125,693,444,647,803,1117,1495,1641,2004,2068,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001577_0,3087,1916,553,780,847,1345,1955,2216,2476,2559,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001578_0,1658,952,344,634,596,1114,2148,2624,2724,2913,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001579_0,2679,1875,695,944,1072,1669,2224,2519,2878,2882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000157c_0,2410,1786,564,854,911,1261,1976,2113,2122,2185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000157f_0,2659,1601,341,680,411,1201,2704,3054,3461,3206,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001581_0,2833,1854,423,643,814,1238,1681,1886,1944,2184,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001584_0,2921,2443,626,800,1007,1297,1656,1781,2010,2042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001586_0,1503,602,259,413,174,650,2980,3845,3937,4061,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001589_0,2428,2020,722,902,1104,1318,1547,1640,1766,1769,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000158a_0,1652,785,302,648,307,1144,2982,3474,3672,3704,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000158d_0,3362,2466,613,806,1092,1349,1595,1741,1854,1933,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000158e_0,2128,1185,428,712,521,1172,2726,3101,3024,3299,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001591_0,2398,1976,500,767,792,1083,1636,1726,1886,1843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001592_0,2010,894,427,642,327,960,3381,4169,4256,4478,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001594_0,1424,640,255,485,248,812,3386,4401,4632,4673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001596_0,1795,1467,668,924,948,1188,1699,1803,1876,1870,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001599_0,2284,2346,497,560,677,776,820,933,960,1042,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000159b_0,3068,2885,778,1001,1306,1550,1993,2122,1916,2143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000159e_0,2415,1949,604,777,841,1136,1608,1748,1876,1873,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000159f_0,1222,568,335,543,308,888,2445,2865,2962,3149,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015a1_0,2536,1184,405,905,504,1497,3915,4280,4964,4919,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015a3_0,3006,2442,821,1224,1374,1989,2756,2933,2940,3061,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015a6_0,3519,2963,579,930,1284,1686,2163,2341,2558,2562,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015a9_0,2652,1410,369,874,760,1507,3005,3509,3706,3965,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ab_0,2153,1010,276,662,332,1188,3860,4634,4864,4909,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ae_0,2467,2159,599,745,700,1119,2041,2539,2762,2762,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015b3_0,3642,3060,957,1394,1738,2107,2403,2566,2664,2793,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015b4_0,2234,1412,423,633,619,1118,1903,2119,2502,2443,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015b6_0,1590,792,249,358,261,719,1791,2744,2351,2920,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015b8_0,1707,1107,218,499,486,1108,1740,1835,1678,2027,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015bb_0,1250,687,273,484,320,767,2165,2770,2566,2878,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015bc_0,1670,744,243,563,247,936,2990,3495,3716,3644,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c0_0,2893,2213,752,984,1208,1566,1644,1857,1864,1920,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c4_0,2750,1628,515,824,857,1369,2252,2517,2720,2859,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c5_0,2475,1471,232,455,521,963,1332,1524,1794,1890,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c8_0,2982,2357,626,908,1082,1654,2108,2334,2314,2516,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cb_0,1268,652,299,449,336,687,2819,4358,4700,4677,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cd_0,2518,2001,843,1212,1348,1747,2157,2300,2308,2366,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d0_0,2293,1459,695,969,1534,1790,1947,2158,2390,2514,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d1_0,2521,1580,586,926,1278,1663,2114,2417,2463,2898,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d5_0,5416,4585,2020,2746,3416,4054,4122,4248,3930,4120,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d8_0,1580,670,342,507,292,599,2648,4051,4180,4290,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015d9_0,1321,546,148,340,158,826,2868,3451,3076,3619,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015dd_0,3149,2575,517,837,1042,1573,2253,2504,2492,2740,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015df_0,2219,1191,249,529,475,1056,1822,2087,2360,2453,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e0_0,2783,1653,536,930,1108,1596,2441,2743,3174,3287,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e2_0,2680,2039,564,761,921,1151,1465,1586,1680,1794,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e3_0,737,355,229,343,215,523,1592,1880,2044,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e5_0,1929,778,306,496,247,822,3387,4502,4264,4773,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015e6_0,3017,2247,647,939,1352,1788,2144,2458,2646,2860,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ea_0,3130,2736,767,1080,1376,1634,1789,1900,2078,2043,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015eb_0,1228,553,256,393,201,651,2042,2455,2468,2668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ed_0,1230,577,155,297,180,584,1804,2204,2084,2437,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f2_0,3083,2155,925,1344,1816,2233,2563,2843,3010,3082,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f3_0,1792,1093,571,801,1076,1133,1840,2456,2064,2464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f4_0,1472,632,160,339,189,612,2426,3042,3255,3252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f7_0,3387,3063,849,1100,1412,1705,1929,2083,2112,2215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fa_0,3914,2864,892,1284,1860,2254,2598,2901,3012,3295,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fb_0,2054,1246,428,696,990,1281,1677,1887,2141,2396,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fc_0,3079,2247,540,882,960,1588,2328,2521,2274,2769,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ff_0,3558,2926,870,1124,1378,1882,2441,2654,2900,2931,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001602_0,2247,1429,450,636,759,1110,1903,2350,2504,2636,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001607_0,3419,3463,653,797,939,1096,1359,1540,1674,1734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001608_0,1932,1143,381,613,733,1170,2015,2486,2636,2945,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160d_0,1277,565,204,321,190,626,1938,2374,2398,2661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160f_0,2822,2044,631,807,1026,1424,2313,2432,2289,2826,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001610_0,755,277,117,380,128,633,2045,2438,2618,2584,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001616_0,1355,578,180,360,162,581,1943,2475,2666,2795,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001619_0,2084,1502,507,735,837,1192,2117,2337,1960,2483,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161d_0,3552,2863,852,1132,1360,1642,2017,2190,2204,2372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161e_0,3464,2574,655,1004,1112,1690,2504,2779,2896,3014,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001621_0,2229,1802,603,830,932,1316,1706,1903,1924,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001622_0,1808,955,364,638,391,1024,2321,2576,2620,2755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001624_0,2226,1595,589,910,1158,1363,1564,1703,1803,1738,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001626_0,2685,1841,816,1140,1192,1646,2714,2906,3002,3062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001629_0,1669,780,155,350,180,551,2592,3378,3376,3512,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000162a_0,2173,1456,358,515,448,790,1499,1747,1564,1951,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000162e_0,3359,2945,952,1306,1718,1960,2184,2256,2426,2389,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001631_0,1519,589,33,212,99,535,2563,3392,3621,3679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001632_0,1919,1206,275,505,438,924,1648,1913,1958,2096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001633_0,1604,771,288,485,267,740,2174,2635,2866,2789,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001638_0,2151,1034,444,811,461,1318,2812,3236,3178,3545,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000163c_0,1254,568,185,422,226,861,2199,2600,2741,2860,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000163e_0,1934,1943,409,473,587,638,700,818,847,943,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000163f_0,3413,2271,841,1088,1182,1619,2137,2340,2414,2565,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001648_0,4230,3801,1152,1826,2350,2879,3468,3695,3728,3775,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000164c_0,1408,673,285,430,220,661,2099,2543,2586,2697,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000164d_0,1057,506,285,471,241,660,1868,2280,2504,2381,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001654_0,2637,1500,592,890,1126,1677,2322,2674,2718,3149,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001658_0,4016,3625,1090,1650,1908,2383,3077,3351,3488,3503,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001659_0,1352,602,304,439,254,686,1998,2331,2350,2587,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000165b_0,3297,2692,938,1478,1904,2175,2924,3264,3606,3442,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000165d_0,1677,936,296,626,492,894,1682,1858,2182,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001661_0,1662,820,486,910,511,1334,3989,4595,4316,4680,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001662_0,2453,1363,322,550,631,1043,1474,1778,2198,2185,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001666_0,1588,801,323,466,317,790,2043,2429,2412,2653,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001669_0,2401,1484,220,550,395,1139,2603,3058,3656,3370,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000166a_0,2891,1893,504,841,905,1426,2649,3032,3132,3291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000166f_0,1706,753,257,612,267,1074,2929,3497,3760,3720,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001672_0,2972,2053,604,851,895,1231,1953,2165,2366,2365,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001673_0,1248,608,382,646,472,1109,2017,2157,2288,2468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001676_0,2118,1098,481,830,586,1362,3431,3915,4048,4222,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001677_0,2393,1654,419,658,646,1045,1639,1808,1896,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000167a_0,2975,2398,594,814,949,1372,1884,2062,2274,2289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000167d_0,1857,838,287,484,263,701,3098,4168,4495,4571,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000167f_0,1079,673,162,454,498,689,902,1048,1280,1046,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001683_0,3690,3122,1126,1376,1682,1827,2047,2259,2414,2602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001684_0,1321,723,420,586,425,802,2185,2911,3132,3007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001687_0,2830,2309,816,1072,1148,1406,1704,1802,1900,1912,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168a_0,1101,461,230,322,158,387,1634,2053,2360,2376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168b_0,1026,428,226,448,197,628,2403,3069,3364,3217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168c_0,3058,2700,643,959,1206,1497,2040,2273,2370,2423,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001690_0,1224,562,189,409,219,665,1874,2235,2473,2425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001694_0,3892,3404,1482,1976,2456,2681,2819,2917,3020,3027,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001698_0,3463,2526,743,1005,1282,1684,1986,2240,2234,2471,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169d_0,1238,544,183,375,175,719,2218,2877,3018,2963,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169f_0,2503,1203,266,658,272,1193,3901,4858,4927,5281,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016a1_0,2928,1891,728,1005,971,1509,2909,3318,3472,3503,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016a4_0,3223,2430,684,1034,1182,1609,2348,2589,2664,2837,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016a5_0,1275,502,180,323,183,648,2470,2928,2802,3314,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016a9_0,2437,2045,761,1042,1194,1454,1699,1769,1792,1884,"{""type"":""MultiPoint"",""coordinates"":[]}"
